,Names,Rating,Number_of_review,Street,Locations,price_range,Number_of_photos,kind,Amenities
88,Hotel Seasons,3.5,[],1074 AZ Amsterdam,"De Pijp, Zuid",[],[],Unclaimed,[]
89,The Linden Hotel,3.5,3,1015 KT Amsterdam,"Jordaan, Centrum",Unclaimed ,5,Unclaimed,[]
90,City Hub,5,11,1053 BE Amsterdam,"Kinkerbuurt, Oud West, West",Unclaimed ,21,Unclaimed,[]
91,Hotel Espresso,4,10,1054 HC Amsterdam,West,€€ ,13,Unclaimed,['Free Wi-Fi']
92,Ecomama,4,14,1011 NA Amsterdam,Centrum,Unclaimed ,22,Unclaimed,[]
93,Holiday Inn- Arena Towers,4,3,1101 BE Amsterdam,Zuid Oost,€€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
94,Hotel NH Collection Amsterdam Doelen,4.5,14,1012 CP Amsterdam,"De Wallen, Centrum",€€€ ,42,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
95,Mps Holland,3.5,2,1011 VZ Amsterdam,Centrum,€ ,24,Unclaimed,['Free Wi-Fi']
96,Hotel Allure,3,3,1018 GB Amsterdam,"Plantagebuurt, Centrum",€€ ,4,Unclaimed,"['Accepts Debit Cards', 'Paid Wi-Fi']"
97,SWEETS hotel,4.5,Hotels,1019 DV Amsterdam,"Zeeburg, Oost",[],6,Hotels,['Free Wi-Fi']
98,INK Hotel Amsterdam MGallery,3.5,25,1012 RE Amsterdam,Centrum,€€€ ,91,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
99,Best Western Delphi Hotel,3.5,5,1077 AN Amsterdam,"Apollobuurt, Zuid",€€ ,7,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
100,Holiday Inn Express Amsterdam - Arena Towers,3.5,3,1101 BE Amsterdam-Zuidoost,Zuid Oost,Unclaimed ,18,Unclaimed,[]
101,Motel One,4.5,3,1011 LZ Amsterdam,Centrum,€€€ ,photo,Unclaimed,['Free Wi-Fi']
102,Eden Hotel Amsterdam,3.5,30,1017 AE Amsterdam,Centrum,€€ ,22,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
103,XO Hotels Blue Square,5,10,1064 HD Amsterdam,Geuzenveld,€€ ,33,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
104,Boat & Co,4,2,1014 ZG Amsterdam,West,[],photo,Hotels,[]
105,Morgan & Mees,5,1,1052 LC Amsterdam,"Frederik Hendrikbuurt, West",€€ ,5,Unclaimed,['Free Wi-Fi']
106,Hotel Van Gogh,4,15,1071 CW Amsterdam,"Museumkwartier, Zuid",€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
107,De Bedstee Boutique Capsule Hotel,4,2,1071 LH Amsterdam,"Museumkwartier, Zuid",€€ ,11,Hotels,['Free Wi-Fi']
108,Hotel Nadia,5,14,1016 DD Amsterdam,Centrum,€€ ,31,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
109,Hotel Roemer,3.5,13,1054 EX Amsterdam,West,€€€ ,4,Unclaimed,['Free Wi-Fi']
110,Amadi Park Hotel,2.5,6,1054 BR Amsterdam,"Helmersbuurt, Oud West, West",€€ ,56,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
111,Hotel Alexander,3,4,1054 GE Amsterdam,West,€€€ ,8,Unclaimed,['Free Wi-Fi']
112,Hotel The Craftsmen,4.5,1,1012 VE Amsterdam,Centrum,Unclaimed ,photo,Unclaimed,[]
113,ITC Hotel,4,11,1017 JE Amsterdam,Centrum,Unclaimed ,6,Unclaimed,[]
114,Acostar hotel,4,2,1017 GB Amsterdam,Centrum,€€ ,7,Unclaimed,[]
115,Amstel Botel,4.5,14,1033 RG Amsterdam,Noord,€€ ,52,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
116,Crane Hotel Faralda,4.5,Hotels,1033 Amsterdam,Noord,€€€ ,7,Unclaimed,['Free Wi-Fi']
117,NL Hotel Museumplein,5,2,1071 RT Amsterdam,"Museumkwartier, Zuid",€€ ,4,Unclaimed,['Free Wi-Fi']
118,Hotel Levell,3.5,1,1101 CP Amsterdam,Zuid Oost,Unclaimed ,11,Unclaimed,['Free Wi-Fi']
119,ClinkNOORD,4,14,1031 KV Amsterdam,Noord,Unclaimed ,47,Unclaimed,['Free Wi-Fi']
120,Leonardo Hotel Amsterdam Rembrandtpark,3.5,1,1057 PH Amsterdam,[],Unclaimed ,photo,Unclaimed,[]
121,Hotel Residence Le Coin,5,3,1012 CP Amsterdam,"De Wallen, Centrum",€€€ ,5,Unclaimed,"['Accepts Debit Cards', 'Paid Wi-Fi']"
