,Names,Rating,Number_of_review,Street,Locations,price_range,Number_of_photos,kind,Amenities
37,The Butcher Social Club,4,15,1031 KS Amsterdam,Noord,€€ ,58,Lounges,"['Good for Groups', 'Good For Dancing', 'Free Wi-Fi']"
38,[],3.5,[],[],[],[],[],[],"['Takes Reservations', 'Accepts Debit Cards']"
39,Mash,4,16,1073 XE Amsterdam,"De Pijp, Zuid",€€ ,24,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Trendy']"
40,Boca's,4.5,89,1072 PA Amsterdam,"De Pijp, Zuid",€€ ,153,Bars,"['Takes Reservations', 'Offers Takeout', 'Accepts Debit Cards']"
41,De Kroegtijger,5,12,1012 Amsterdam,"De Wallen, Centrum",€€ ,22,Pubs,"['Takes Reservations', 'Moderate Noise', 'Good for Groups', 'Good For Dancing']"
42,gin and tonic bar,5,5,1053 Amsterdam,"Kinkerbuurt, Oud West, West",Unclaimed ,22,Unclaimed,"['Good for Groups', 'TV']"
43,Bar Lempicka,3.5,45,1018 EV Amsterdam,"Plantagebuurt, Centrum",€€ ,52,Brasserie,"['Takes Reservations', 'Accepts Debit Cards']"
44,Café Weber,4,8,1017 PJ Amsterdam,Centrum,€ ,8,Unclaimed,"['Outdoor Seating', 'Casual', 'Loud', 'Good for Groups']"
45,HPS,4.5,59,1011 TX Amsterdam,Centrum,€€€ ,101,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Classy', 'Moderate Noise']"
46,BR020,5,2,1016 TC Amsterdam,"Jordaan, Centrum",€€ ,23,Pubs,"['Takes Reservations', 'Accepts Debit Cards', 'Good for Groups', 'Good For Dancing']"
47,Red Light Bar,3.5,14,1012 DB Amsterdam,"De Wallen, Centrum",€€ ,18,Pubs,"['Takes Reservations', 'Accepts Debit Cards', 'Good for Groups', 'Pool Table']"
48,Pigs & Punch,4.5,11,1017 VN Amsterdam,Centrum,€€ ,18,Unclaimed,"['Takes Reservations', 'Good for Groups', 'Free Wi-Fi']"
49,The Jitterbug Saloon,5,3,1015 TV Amsterdam,"Jordaan, Centrum",[],8,Cocktail Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Street Parking', 'Full Bar']"
50,Proeflokaal de Druif,5,6,1011 VJ Amsterdam,Centrum,€ ,32,Unclaimed,"['Takes Reservations', 'Outdoor Seating', 'Casual', 'Quiet']"
51,Lost in Amsterdam,3.5,18,1012 LZ Amsterdam,Centrum,€€ ,42,Lounges,['Outdoor Seating']
52,[],4,[],[],[],[],[],[],"['Takes Reservations', 'Accepts Debit Cards', 'Many Vegetarian Options']"
53,Café 't Smalle,4.5,42,1015 RL Amsterdam,"Jordaan, Centrum",€€ ,66,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
54,Café Brecht,4.5,61,1017 SE Amsterdam,Centrum,€€ ,86,Unclaimed,['Outdoor Seating']
55,GAPP,[],Bars,1097 BC Amsterdam,"Watergraafsmeer, Oost",[],25,Bars,"['Takes Reservations', 'Outdoor Seating', 'Garage Parking, Street Parking', 'Free Wi-Fi']"
56,Rosalia's Menagerie,5,17,1012 CV Amsterdam,"De Wallen, Centrum",[],26,Cocktail Bars,"['Takes Reservations', 'Street Parking', 'Full Bar']"
57,Foeders,5,16,1074 CZ Amsterdam,"De Pijp, Zuid",€ ,48,Beer Bars,"['Takes Reservations', 'Outdoor Seating', 'Good for Groups', 'Free Wi-Fi']"
58,Café Hill Street Blues,3.5,22,1012 JG Amsterdam,"De Wallen, Centrum",€ ,13,Unclaimed,"['Trendy, Casual', 'Moderate Noise', 'Good for Groups']"
59,The Tailor,4.5,15,1012 JS Amsterdam,"De Wallen, Centrum",€€€ ,86,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Classy']"
60,Café Belgique,4.5,29,1012 NM Amsterdam,Centrum,€€ ,51,Unclaimed,"['Accepts Debit Cards', 'Many Vegetarian Options']"
61,Smoking Bull,5,1,1012 GS Amsterdam,"De Wallen, Centrum",[],13,Sports Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Street Parking', 'Full Bar']"
62,Café Heuvel,4,12,1017 KR Amsterdam,Centrum,€ ,11,Unclaimed,"['Outdoor Seating', 'Casual', 'Moderate Noise']"
63,Café 't Smalle,4.5,42,1015 RL Amsterdam,"Jordaan, Centrum",€€ ,66,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
64,Café de Jaren,4,114,1012 CP Amsterdam,"De Wallen, Centrum",€€ ,139,Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Classy, Trendy, Casual']"
65,The Tailor,4.5,15,1012 JS Amsterdam,"De Wallen, Centrum",€€€ ,86,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Classy']"
66,Cafe Gollem 2,4.5,21,1072 XK Amsterdam,"De Pijp, Zuid",€€ ,31,Unclaimed,"['Casual', 'Moderate Noise', 'Good for Groups']"
67,Café Hill Street Blues,3.5,22,1012 JG Amsterdam,"De Wallen, Centrum",€ ,13,Unclaimed,"['Trendy, Casual', 'Moderate Noise', 'Good for Groups']"
68,Prik,4,22,1012 SV Amsterdam,Centrum,€€ ,28,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Trendy, Casual']"
69,Boca's,4.5,89,1072 PA Amsterdam,"De Pijp, Zuid",€€ ,153,Bars,"['Takes Reservations', 'Offers Takeout', 'Accepts Debit Cards']"
70,HPS,4.5,59,1011 TX Amsterdam,Centrum,€€€ ,101,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Classy', 'Moderate Noise']"
71,Cafe 't Molentje,5,8,1016 AC Amsterdam,Centrum,€€ ,17,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'Free Wi-Fi']"
72,Eetcafe de Jordaan,4,9,1016 TN Amsterdam,"Jordaan, Centrum",€ ,10,Unclaimed,"['Outdoor Seating', 'Good for Groups']"
73,Koffiehuis Basjoe,4,7,1012 CX Amsterdam,"De Wallen, Centrum",€€€€ ,4,Unclaimed,"['Good for Groups', 'TV']"
74,Biertuin,4,5,1017 KH Amsterdam,Centrum,€€ ,17,Beer Bars,"['Takes Reservations', 'Good for Groups', 'Free Wi-Fi', 'TV']"
75,de Tulp,3,2,1072 MH Amsterdam,"De Pijp, Zuid",€€ ,12,Unclaimed,"['Takes Reservations', 'Good for Groups', 'Free Wi-Fi', 'TV']"
76,Club Candela,3.5,9,1017 PX Amsterdam,Centrum,€ ,6,Clubs,"['Outdoor Seating', 'Classy', 'Good for Groups', 'TV']"
77,Vault Bar,5,2,1017 CG Amsterdam,Centrum,€€€ ,5,Unclaimed,"['Good for Groups', 'TV']"
78,Satchmo,5,12,1012 KM Amsterdam,"De Wallen, Centrum",[],43,Steakhouses,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Accepts Debit Cards']"
79,[],5,[],[],[],[],[],[],"['Good for Groups', 'TV']"
80,Cafe Wester,4,31,1015 SP Amsterdam,"Jordaan, Centrum",€€ ,71,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
81,Glouglou,4.5,27,1073 AE Amsterdam,"De Pijp, Zuid",€€ ,35,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Loud']"
82,Cotton Club,5,4,1001 JP Amsterdam,Centrum,€€ ,4,Unclaimed,"['Outdoor Seating', 'Loud', 'Good for Groups', 'Street Parking']"
83,Club Candela,3.5,9,1017 PX Amsterdam,Centrum,€ ,6,Clubs,"['Outdoor Seating', 'Classy', 'Good for Groups', 'TV']"
84,Koffiehuis Basjoe,4,7,1012 CX Amsterdam,"De Wallen, Centrum",€€€€ ,4,Unclaimed,"['Good for Groups', 'TV']"
85,Cafe 't Molentje,5,8,1016 AC Amsterdam,Centrum,€€ ,17,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'Free Wi-Fi']"
86,Café Sound Garden,4,17,1016 TG Amsterdam,"Jordaan, Centrum",€€ ,6,Unclaimed,"['Outdoor Seating', 'Casual', 'Good for Groups']"
87,Café Water,3,Jazz,1072 AX Amsterdam,Zuid,Unclaimed ,photo,Unclaimed,[]
88,Brouwerij De Prael,4,32,1012 GP Amsterdam,"Centrum, De Wallen",€ ,52,Unclaimed,"['Many Vegetarian Options', 'Moderate Noise']"
89,'t Sluisje,3.5,4,1012 TH Amsterdam,Centrum,Unclaimed ,photo,Unclaimed,"['Takes Reservations', 'Very Loud']"
90,Karakter,5,1,1053 AE Amsterdam,"Da Costabuurt, Oud West, West",€€ ,4,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'TV']"
91,Smoking Bull,5,1,1012 GS Amsterdam,"De Wallen, Centrum",[],13,Sports Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Street Parking', 'Full Bar']"
92,Boteco Do Nerynho,4.5,2,1058 JN Amsterdam,"Hoofddorppleinbuurt, Zuid",€€ ,12,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards']"
93,Mash,4,16,1073 XE Amsterdam,"De Pijp, Zuid",€€ ,24,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Trendy']"
94,Blue Amsterdam,4,67,1012 WP Amsterdam,Centrum,€€ ,193,Bars,"['Takes Reservations', 'Offers Takeout', 'Accepts Debit Cards']"
95,Doka,4,3,Kelder Volkskrantgebouw,"Oosterparkbuurt, Oost",€€€ ,photo,Unclaimed,['Accepts Debit Cards']
96,Café Kale,4.5,32,1017 XJ Amsterdam,Centrum,€€ ,50,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards']"
